frame_index,timestamp_sec,analysis_time_sec,sequence_time_sec,segment_time_sec,segment_id,segment_index,segment_boundary,x_rel,y_rel,z_rel,qw,qx,qy,qz,confidence,layer,orientation_source,scale_status
29,68.240000000,1.400000000,1.400000000,0.400000000,seg02,2,false,0.00839789045,-0.0371521444,0.144828582,0.995922868,0.00400053268,-0.00944825182,0.0896234802,1,filtered_kalman,raw_camera_orientation,relative_only
30,68.290000000,1.450000000,1.450000000,0.450000000,seg02,2,false,0.00762501393,-0.0368706293,0.138544474,0.995880356,0.0195656772,-0.00681802059,0.088278057,1,filtered_kalman,raw_camera_orientation,relative_only
31,68.340000000,1.500000000,1.500000000,0.500000000,seg02,2,false,0.00715251505,-0.0382242629,0.134143819,0.993400377,0.0177351521,-0.00121390195,0.113312323,1,filtered_kalman,raw_camera_orientation,relative_only
32,68.390000000,1.550000000,1.550000000,0.550000000,seg02,2,false,0.00718849052,-0.0382686854,0.129138055,0.993086342,0.0236204823,-0.00346902156,0.114932833,1,filtered_kalman,raw_camera_orientation,relative_only
33,68.440000000,1.600000000,1.600000000,0.600000000,seg02,2,false,0.00693509586,-0.0384336249,0.12653848,0.989034638,0.0296785238,-0.000845390767,0.144668436,1,filtered_kalman,raw_camera_orientation,relative_only
34,68.490000000,1.650000000,1.650000000,0.650000000,seg02,2,false,0.00775426106,-0.0370455578,0.120999905,0.989970218,0.0122979824,-0.00466239218,0.140662677,1,filtered_kalman,raw_camera_orientation,relative_only
35,68.540000000,1.700000000,1.700000000,0.700000000,seg02,2,false,0.00807232937,-0.0361280203,0.118829059,0.994930495,-0.00221362177,-0.0139537619,0.0995675809,1,filtered_kalman,raw_camera_orientation,relative_only
36,68.590000000,1.750000000,1.750000000,0.750000000,seg02,2,false,0.00840564975,-0.0342503928,0.114712291,0.994344341,0.0118604183,-0.00416470121,0.105457655,1,filtered_kalman,raw_camera_orientation,relative_only
37,68.640000000,1.800000000,1.800000000,0.800000000,seg02,2,false,0.0078253302,-0.0335700584,0.112399438,0.995650941,0.00515030112,-0.00512096738,0.092878707,1,filtered_kalman,raw_camera_orientation,relative_only
38,68.690000000,1.850000000,1.850000000,0.850000000,seg02,2,false,0.00726335425,-0.0324339203,0.109502256,0.995785656,0.00392694949,-0.0225717036,0.0888032879,1,filtered_kalman,raw_camera_orientation,relative_only
39,68.740000000,1.900000000,1.900000000,0.900000000,seg02,2,false,0.00658958671,-0.0312421693,0.107037293,0.996472199,0.0194743569,-0.0113977058,0.0808331463,1,filtered_kalman,raw_camera_orientation,relative_only
40,68.790000000,1.950000000,1.950000000,0.950000000,seg02,2,false,0.00601318557,-0.029613252,0.105238044,0.996797333,0.0194962249,-0.0255083356,0.0732413761,1,filtered_kalman,raw_camera_orientation,relative_only
