frame_index,timestamp_sec,time_normalized,speed_relative,acceleration_relative,jerk_proxy,curvature,step_relative,pose_jump,bspline_residual,rts_residual,innovation_norm
40,14.917000000,0.201470588,1.11846922,12.1390499,1085.08465,9.55493109,0.00761549031,false,0.00156890635,0.016901345,0.00356147404
41,15.067000000,0.205882353,1.14930128,8.5415291,1822.54806,3.98304891,0.00442328926,false,0.00186612856,0.0165122661,0.00446459833
42,15.267000000,0.211764706,1.18925379,10.9385939,1818.60188,2.6000606,0.00796789319,false,0.000969634966,0.0169656323,0.00417211899
43,15.417000000,0.216176471,1.24477715,16.7602122,1447.33654,5.47076257,0.00471030006,false,0.00158448221,0.0168929257,0.00472626168
44,15.567000000,0.220588235,1.31785796,12.5087237,1978.32381,4.90871754,0.0062832492,false,0.000914443922,0.0173062472,0.00516780065
45,15.767000000,0.226470588,1.31084006,6.9284496,2047.40805,0.634492876,0.00692856439,false,0.000605284002,0.018171005,0.00544796702
46,15.917000000,0.230882353,1.26189034,14.8302809,1093.9093,3.91797993,0.00623199204,false,0.000561873405,0.018896051,0.00632330999
47,16.117000000,0.236764706,1.16756744,14.5029892,5215.93918,5.20781318,0.00625910423,false,0.000583666783,0.0196615575,0.00630627961
48,16.267000000,0.241176471,1.32055412,38.3526788,3344.61711,15.6846134,0.00552313844,false,0.00140485706,0.020326591,0.0070072022
49,16.417000000,0.245588235,1.40868908,21.1148604,7177.14326,8.20912273,0.00622144783,false,0.00112143808,0.0215024043,0.00751071012
50,16.617000000,0.251470588,1.0567634,29.1170235,4868.6057,5.06646892,0.00829072357,false,0.00181099685,0.0228670831,0.00908867216
51,16.767000000,0.255882353,1.03394837,16.7729639,3892.84886,8.4880242,0.00349719504,false,0.000905789494,0.0222703805,0.00860857679
52,16.967000000,0.261764706,1.26774444,10.0014728,2746.5087,3.88151096,0.00799180777,false,0.00134745451,0.024176167,0.00930260719
53,17.117000000,0.266176471,1.07528673,13.9213584,3392.0626,9.79714403,0.00531784792,false,0.00190230908,0.0248475628,0.00977515167
54,17.317000000,0.272058824,1.31351557,30.3521873,4229.56089,10.2601919,0.00533471709,false,0.0020865395,0.0247406786,0.00945985395
55,17.467000000,0.276470588,1.36924215,26.6998929,8030.93431,8.3399812,0.00715860467,false,0.00205357494,0.0265043143,0.0111394065
56,17.617000000,0.280882353,1.12121825,42.633309,2894.5216,1.76692031,0.00498554305,false,0.00166100089,0.0273074417,0.0108175618
57,17.817000000,0.286764706,0.98320831,11.1378287,4166.30308,11.5030223,0.00657849167,false,0.00145505745,0.02793087,0.011458896
58,17.967000000,0.291176471,1.05232807,9.3002478,2215.83093,6.70377938,0.00389562365,false,0.00138237637,0.0274889674,0.0114541838
59,18.167000000,0.297058824,1.00552081,22.7321492,2593.56576,10.8157859,0.00755567987,false,0.00210812892,0.0293763314,0.0117472822
60,18.317000000,0.301470588,1.18973003,30.9767546,2806.18571,8.35339193,0.00355210927,false,0.0020510825,0.028713727,0.0116969791
61,18.467000000,0.305882353,1.25422445,8.19987156,4671.49997,5.16135544,0.00700585113,false,0.00263318313,0.0308779157,0.0127498888
62,18.667000000,0.311764706,1.16539912,12.3375354,2412.67312,8.94850482,0.00483173517,false,0.00248815138,0.0302996736,0.0125755318
63,18.817000000,0.316176471,1.1927466,14.2270757,2568.50144,2.19298057,0.00629050588,false,0.00217581992,0.0319472914,0.0136386855
64,19.017000000,0.322058824,0.954160497,17.6780179,965.718141,2.68295856,0.00519118467,false,0.00195088167,0.0315335728,0.0140487074
65,19.167000000,0.326470588,0.952400121,8.91290004,3089.05915,2.27618495,0.00445085538,false,0.00212225832,0.0318714999,0.0140729482
66,19.367000000,0.332352941,0.836245416,18.1666843,4958.70426,12.9865819,0.00518380719,false,0.00233989034,0.031369996,0.0149672556
