frame_index,timestamp_sec,x_rel,y_rel,z_rel,qw,qx,qy,qz,confidence,layer,orientation_source,scale_status
40,14.135065327,-0.137207121,0.109266296,-0.402425438,0.939799927,0.0768441072,-0.318260418,-0.0978845542,1,raw,raw_camera_orientation,relative_only
41,14.286391960,-0.146478295,0.111498311,-0.412748277,0.939695075,0.0794286946,-0.31708191,-0.10061467,1,raw,raw_camera_orientation,relative_only
42,14.437718593,-0.155948818,0.112784736,-0.421302021,0.938775434,0.0792671948,-0.321014771,-0.0967828155,1,raw,raw_camera_orientation,relative_only
43,14.589045226,-0.164222062,0.117190912,-0.432606667,0.937291431,0.0786255116,-0.324747122,-0.0992073996,1,raw,raw_camera_orientation,relative_only
44,14.740371859,-0.164097846,0.116315082,-0.428819358,0.935617182,0.082754225,-0.329943727,-0.0943894232,1,raw,raw_camera_orientation,relative_only
45,14.891698492,-0.168337449,0.115807548,-0.424054921,0.936428813,0.0830032643,-0.329358366,-0.0879465908,1,raw,raw_camera_orientation,relative_only
46,15.043025126,-0.179983914,0.125054702,-0.459705204,0.936494346,0.0795362279,-0.330861042,-0.0847543515,1,raw,raw_camera_orientation,relative_only
47,15.194351759,-0.188691869,0.124392852,-0.466404647,0.9352894,0.0847834916,-0.333698851,-0.0817959375,1,raw,raw_camera_orientation,relative_only
48,15.345678392,-0.199279457,0.12930873,-0.485874295,0.936009941,0.0852367993,-0.333037924,-0.0755368718,1,raw,raw_camera_orientation,relative_only
49,15.497005025,-0.211969241,0.135738656,-0.505402625,0.93666329,0.0828059941,-0.335320407,-0.0580109689,1,raw,raw_camera_orientation,relative_only
50,15.648331658,-0.221954241,0.133461207,-0.516902626,0.936437433,0.0825869555,-0.337884607,-0.0458074364,1,raw,raw_camera_orientation,relative_only
51,15.799658291,-0.22212407,0.130486205,-0.502041996,0.936904374,0.0819319859,-0.338432314,-0.030998597,1,raw,raw_camera_orientation,relative_only
52,15.950984925,-0.23464416,0.139580533,-0.543902636,0.935250348,0.0920514542,-0.341557049,-0.0131186296,1,raw,raw_camera_orientation,relative_only
53,16.102311558,-0.249951571,0.141419902,-0.558152199,0.93653067,0.0979261573,-0.336564479,-0.00671737118,1,raw,raw_camera_orientation,relative_only
