frame_index,timestamp_sec,analysis_time_sec,sequence_time_sec,segment_time_sec,segment_id,segment_index,segment_boundary,x_rel,y_rel,z_rel,qw,qx,qy,qz,confidence,layer,orientation_source,scale_status
25,68.040000000,1.200000000,1.200000000,0.200000000,seg02,2,false,0.0134011055,-0.0370978355,0.163751115,0.99878137,0.00582904224,-0.0146043616,-0.0467815217,1,fitted_bspline,raw_camera_orientation,relative_only
26,68.090000000,1.250000000,1.250000000,0.250000000,seg02,2,false,0.0116816476,-0.0380825219,0.161146049,0.999939046,0.0075403533,-0.00801190039,-0.000925616258,1,fitted_bspline,raw_camera_orientation,relative_only
27,68.140000000,1.300000000,1.300000000,0.300000000,seg02,2,false,0.00915884012,-0.0383302505,0.160448261,0.999802061,0.00474469814,0.00657264957,0.0181693867,1,fitted_bspline,raw_camera_orientation,relative_only
28,68.190000000,1.350000000,1.350000000,0.350000000,seg02,2,false,0.0077254858,-0.0377060691,0.154062014,0.999398648,0.00803553023,0.00182083448,0.0336817039,1,fitted_bspline,raw_camera_orientation,relative_only
29,68.240000000,1.400000000,1.400000000,0.400000000,seg02,2,false,0.00898448347,-0.0368769365,0.139995106,0.995922868,0.00400053268,-0.00944825182,0.0896234802,1,fitted_bspline,raw_camera_orientation,relative_only
30,68.290000000,1.450000000,1.450000000,0.450000000,seg02,2,false,0.00991807338,-0.0379523219,0.136423041,0.995880356,0.0195656772,-0.00681802059,0.088278057,1,fitted_bspline,raw_camera_orientation,relative_only
31,68.340000000,1.500000000,1.500000000,0.500000000,seg02,2,false,0.0101911119,-0.0393466879,0.136221775,0.993400377,0.0177351521,-0.00121390195,0.113312323,1,fitted_bspline,raw_camera_orientation,relative_only
32,68.390000000,1.550000000,1.550000000,0.550000000,seg02,2,false,0.010366065,-0.0389771178,0.131553149,0.993086342,0.0236204823,-0.00346902156,0.114932833,1,fitted_bspline,raw_camera_orientation,relative_only
33,68.440000000,1.600000000,1.600000000,0.600000000,seg02,2,false,0.0105022044,-0.0370971884,0.131723354,0.989034638,0.0296785238,-0.000845390767,0.144668436,1,fitted_bspline,raw_camera_orientation,relative_only
34,68.490000000,1.650000000,1.650000000,0.650000000,seg02,2,false,0.0105330031,-0.0345445994,0.121938792,0.989970218,0.0122979824,-0.00466239218,0.140662677,1,fitted_bspline,raw_camera_orientation,relative_only
35,68.540000000,1.700000000,1.700000000,0.700000000,seg02,2,false,0.0103919343,-0.0321300219,0.125661176,0.994930495,-0.00221362177,-0.0139537619,0.0995675809,1,fitted_bspline,raw_camera_orientation,relative_only
36,68.590000000,1.750000000,1.750000000,0.750000000,seg02,2,false,0.010012471,-0.0305560109,0.118839842,0.994344341,0.0118604183,-0.00416470121,0.105457655,1,fitted_bspline,raw_camera_orientation,relative_only
37,68.640000000,1.800000000,1.800000000,0.800000000,seg02,2,false,0.00932808621,-0.0301587052,0.119863466,0.995650941,0.00515030112,-0.00512096738,0.092878707,1,fitted_bspline,raw_camera_orientation,relative_only
38,68.690000000,1.850000000,1.850000000,0.850000000,seg02,2,false,0.00827225312,-0.0299166939,0.116350302,0.995785656,0.00392694949,-0.0225717036,0.0888032879,1,fitted_bspline,raw_camera_orientation,relative_only
39,68.740000000,1.900000000,1.900000000,0.900000000,seg02,2,false,0.00677844478,-0.0284691789,0.114614851,0.996472199,0.0194743569,-0.0113977058,0.0808331463,1,fitted_bspline,raw_camera_orientation,relative_only
40,68.790000000,1.950000000,1.950000000,0.950000000,seg02,2,false,0.00478013427,-0.0244553618,0.11575367,0.996797333,0.0194962249,-0.0255083356,0.0732413761,1,fitted_bspline,raw_camera_orientation,relative_only
