frame_index,timestamp_sec,analysis_time_sec,segment_id,segment_index,segment_boundary,tx_relative,ty_relative,tz_relative,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg,vx_relative_per_source_s,vy_relative_per_source_s,vz_relative_per_source_s,angular_rate_proxy_deg_per_source_s,pose_valid,confidence,source_layer,coordinate_frame,pose_semantics,scale_status
1,42.44,0.0,seg01,1,True,-0.0004345657071098685,-1.3372535931921448e-06,-1.5663277963540168e-07,0.999998973757594,-0.0008134076377666398,-0.0008313522342630338,-0.0008364838529919153,-0.09313003520397567,-0.09534386322767865,-0.09577657760752746,0.0,0.0,0.0,0.0,True,1.0,raw,official_glb_alignment,camera_pose_proxy,relative_only
2,42.49,0.05,seg01,1,False,0.00029837049078196287,0.0005184108740650117,-0.008890854194760323,0.9984078786695176,-0.0039050316132414947,-0.0048199395408559265,0.05606448716929452,-0.4777626928784937,-0.526364480927209,6.430205770281002,0.01430823351256529,0.016047151201519,-0.1717455481815453,141.8930695956742,True,1.0,raw,official_glb_alignment,camera_pose_proxy,relative_only
3,42.54,0.1,seg01,1,False,0.0009962576441466808,0.0016033778665587306,-0.01717471145093441,0.992442931379013,-0.008911381797454515,-0.011397169132317685,0.12185121979718179,-1.1729193400809597,-1.1718006842888928,14.011375075447678,0.005925617879256522,0.030195778817869293,-0.12864781543612297,147.46319073966185,True,1.0,raw,official_glb_alignment,camera_pose_proxy,relative_only
4,42.59,0.15,seg01,1,False,0.0008909322787076235,0.003537988755851984,-0.021755635738372803,0.9829484311333259,-0.013442501782181883,-0.013706855364836746,0.1828764692200086,-1.8021076559526261,-1.2623069049680145,21.098485335332324,-0.015692344168200867,0.04736219183541767,-0.20293833687901208,158.5928364717613,True,1.0,raw,official_glb_alignment,camera_pose_proxy,relative_only
5,42.64,0.2,seg01,1,False,-0.0005729767726734281,0.006339597050100565,-0.03746854513883591,0.966159283916973,-0.01610515020062785,-0.00890317401287802,0.2572889343336662,-2.046070438407174,-0.510879694080984,29.832805744189038,-0.02343961736187472,0.030834232456983888,-0.1946461200714222,94.21193921748836,True,1.0,raw,official_glb_alignment,camera_pose_proxy,relative_only
6,42.69,0.25,seg01,1,False,-0.0014530294574797153,0.006621412001550198,-0.041220247745513916,0.9647402480360323,-0.015093882543108412,-0.006626596400025873,0.26268710807594076,-1.8684703243353333,-0.2782266370759702,30.467907779313478,-0.01300156232900899,0.013221828266978077,-0.08824422955512876,15.106910567637806,True,1.0,raw,official_glb_alignment,camera_pose_proxy,relative_only
7,42.74,0.3,seg01,1,False,-0.0018731330055743456,0.007661779876798391,-0.04629296809434891,0.9627138497385671,-0.017473567943871362,-0.007483918936532348,0.26985312468491096,-2.159626969023627,-0.2852855168325023,31.32223504782586,-0.0015389255713671227,0.022153528407215756,-0.11289544403552848,7.719420166346609,True,1.0,raw,official_glb_alignment,camera_pose_proxy,relative_only
8,42.79,0.35,seg01,1,False,-0.0016069220146164298,0.008836764842271805,-0.052509792149066925,0.9639104339032804,-0.020530671408538696,-0.009505960159196511,0.2652636493478822,-2.5576082094425807,-0.42592394405216677,30.78281881098416,-0.01233285060152394,0.034218789078294745,-0.18094182014465074,24.106741459477668,True,1.0,raw,official_glb_alignment,camera_pose_proxy,relative_only
9,42.84,0.4,seg01,1,False,-0.003106418065726757,0.011083658784627914,-0.06438715010881424,0.967832061819805,-0.02361520898455695,-0.006532818774147017,0.250401166724728,-2.807630063691663,-0.046913283184033816,29.012555306938122,-0.010315944673493357,0.0294974911957975,-0.1691884547471976,7.702933551006747,True,1.0,raw,official_glb_alignment,camera_pose_proxy,relative_only
10,42.89,0.45,seg01,1,False,-0.0026385164819657803,0.011786513961851597,-0.06942863762378693,0.9654229359890012,-0.023051625811280476,-0.007476097081261249,0.25955979115854066,-2.7736415645238868,-0.14144284406841262,30.100358595179152,0.006743730045855429,0.02321587875485552,-0.10254815220833408,17.18426810360173,True,1.0,raw,official_glb_alignment,camera_pose_proxy,relative_only
11,42.94,0.5,seg01,1,False,-0.0024320450611412525,0.013405246660113335,-0.07464196532964706,0.9640295542041463,-0.023263086920145292,-0.009440408002530916,0.2646067385851059,-2.8573480571464906,-0.33750420309766227,30.705504136925278,0.008757417090237016,0.016596643254160645,-0.11901892721652815,5.397292920883106,True,1.0,raw,official_glb_alignment,camera_pose_proxy,relative_only
12,42.99,0.55,seg01,1,False,-0.0017627747729420662,0.013446178287267685,-0.08133053034543991,0.9644904073503254,-0.022702927509932174,-0.010613116870071713,0.2629262120101081,-2.830201134893311,-0.48897438394808507,30.509419168354626,0.007957846391945965,0.023911967873572963,-0.19753329455852228,35.326327194662674,True,1.0,raw,official_glb_alignment,camera_pose_proxy,relative_only
13,43.04,0.6,seg01,1,False,-0.0016362604219466448,0.015796443447470665,-0.09439529478549957,0.9716296128600936,-0.02600658863852655,-0.010257259921629036,0.23484961439106364,-3.1733456871850185,-0.4421696903807038,27.188590068565656,-0.009228698909282552,0.02998469397425609,-0.17684265971183524,60.29701432820643,True,1.0,raw,official_glb_alignment,camera_pose_proxy,relative_only
14,43.09,0.65,seg01,1,False,-0.0026856446638703346,0.016444647684693336,-0.09901479631662369,0.9768656255106642,-0.02689382184633366,-0.009436495842881771,0.21194627759968715,-3.2415050354794395,-0.40315281603138103,24.494374436284605,-0.006596327293664123,0.009532440453767641,-0.08807107806205625,46.5667171363719,True,1.0,raw,official_glb_alignment,camera_pose_proxy,relative_only
15,43.14,0.7,seg01,1,False,-0.0022958931513130665,0.016749687492847443,-0.10320240259170532,0.9803729845711678,-0.025652637712852033,-0.010809829616932084,0.19517658897789683,-3.125393878082746,-0.6406799293616824,22.536398568034656,-0.0015004444867373365,0.0024589151144029106,-0.07934100925922845,52.96238565352173,True,1.0,raw,official_glb_alignment,camera_pose_proxy,relative_only
16,43.19,0.75,seg01,1,False,-0.0028356891125440598,0.016690539196133614,-0.10694889724254608,0.9856724824620366,-0.024597337593511848,-0.007066976781618583,0.16671768394386063,-2.914578321702232,-0.32829668858296784,19.208765821837,-0.03295366186648561,0.01422883942723254,-0.20484440028667159,183.46269827698433,True,1.0,raw,official_glb_alignment,camera_pose_proxy,relative_only
17,43.24,0.8,seg01,1,False,-0.005591259337961674,0.018172571435570717,-0.12368684262037277,0.9991531693215694,-0.016364392847350258,0.004988743961271094,0.03742009239819923,-1.852680316678251,0.6413681904378689,4.279285723998692,-0.016052885912358532,0.012653321027755557,-0.19665852189063746,198.80279424017692,True,1.0,raw,official_glb_alignment,camera_pose_proxy,relative_only
18,43.29,0.85,seg01,1,False,-0.004440977703779936,0.017955871298909187,-0.1266147494316101,0.9998529859565759,-0.01599346389254355,0.002888346222771642,-0.005465623709582833,-1.8345977872366988,0.3209161800840764,-0.6315384770734633,0.006881672888994119,0.001974198967218371,-0.052387639880179616,104.98580893538923,True,1.0,raw,official_glb_alignment,camera_pose_proxy,relative_only
19,43.34,0.9,seg01,1,False,-0.004903092049062252,0.018369991332292557,-0.1289256066083908,0.9984719187110104,-0.010254083510102745,0.005563971591153457,-0.054015956318983524,-1.2078254734243008,0.5731490117365752,-6.199249915725637,-0.014000623486935893,0.014405101537704263,-0.06316155195236116,113.07545332384746,True,1.0,raw,official_glb_alignment,camera_pose_proxy,relative_only
20,43.39,0.95,seg01,1,False,-0.005841040052473545,0.019396381452679634,-0.1329309046268463,0.994553879430498,-0.008306032262032352,0.007670607768519861,-0.10360865076947105,-1.037840046688637,0.7756086854660362,-11.901809692637263,-0.018758960068226926,0.020527802407742712,-0.08010596036911466,114.17367993376271,True,1.0,raw,official_glb_alignment,camera_pose_proxy,relative_only
