frame_index,timestamp_sec,analysis_time_sec,sequence_time_sec,segment_time_sec,segment_id,segment_index,segment_boundary,x_rel,y_rel,z_rel,qw,qx,qy,qz,confidence,layer,orientation_source,scale_status
11,42.940000000,0.500000000,0.500000000,0.500000000,seg01,1,false,-0.00243204506,0.0134052467,-0.0746419653,0.964029554,-0.0232630869,-0.009440408,0.264606739,1,raw,raw_camera_orientation,relative_only
12,42.990000000,0.550000000,0.550000000,0.550000000,seg01,1,false,-0.00176277477,0.0134461783,-0.0813305303,0.964490407,-0.0227029275,-0.0106131169,0.262926212,1,raw,raw_camera_orientation,relative_only
13,43.040000000,0.600000000,0.600000000,0.600000000,seg01,1,false,-0.00163626042,0.0157964434,-0.0943952948,0.971629613,-0.0260065886,-0.0102572599,0.234849614,1,raw,raw_camera_orientation,relative_only
14,43.090000000,0.650000000,0.650000000,0.650000000,seg01,1,false,-0.00268564466,0.0164446477,-0.0990147963,0.976865626,-0.0268938218,-0.00943649584,0.211946278,1,raw,raw_camera_orientation,relative_only
15,43.140000000,0.700000000,0.700000000,0.700000000,seg01,1,false,-0.00229589315,0.0167496875,-0.103202403,0.980372985,-0.0256526377,-0.0108098296,0.195176589,1,raw,raw_camera_orientation,relative_only
16,43.190000000,0.750000000,0.750000000,0.750000000,seg01,1,false,-0.00283568911,0.0166905392,-0.106948897,0.985672482,-0.0245973376,-0.00706697678,0.166717684,1,raw,raw_camera_orientation,relative_only
17,43.240000000,0.800000000,0.800000000,0.800000000,seg01,1,false,-0.00559125934,0.0181725714,-0.123686843,0.999153169,-0.0163643928,0.00498874396,0.0374200924,1,raw,raw_camera_orientation,relative_only
18,43.290000000,0.850000000,0.850000000,0.850000000,seg01,1,false,-0.0044409777,0.0179558713,-0.126614749,0.999852986,-0.0159934639,0.00288834622,-0.00546562371,1,raw,raw_camera_orientation,relative_only
19,43.340000000,0.900000000,0.900000000,0.900000000,seg01,1,false,-0.00490309205,0.0183699913,-0.128925607,0.998471919,-0.0102540835,0.00556397159,-0.0540159563,1,raw,raw_camera_orientation,relative_only
20,43.390000000,0.950000000,0.950000000,0.950000000,seg01,1,false,-0.00584104005,0.0193963815,-0.132930905,0.994553879,-0.00830603226,0.00767060777,-0.103608651,1,raw,raw_camera_orientation,relative_only
