frame_index,timestamp_sec,x_rel,y_rel,z_rel,qw,qx,qy,qz,confidence,layer,orientation_source,scale_status
38,13.832412060,-0.0869202172,0.10797612,-0.385747421,0.945542572,0.0522086077,-0.301341878,-0.1114297,1,filtered_kalman,raw_camera_orientation,relative_only
39,13.983738693,-0.0939211789,0.110091367,-0.39469974,0.943293057,0.0696269532,-0.307421488,-0.104126482,1,filtered_kalman,raw_camera_orientation,relative_only
40,14.135065327,-0.100934848,0.112670375,-0.404566504,0.939799927,0.0768441072,-0.318260418,-0.0978845542,1,filtered_kalman,raw_camera_orientation,relative_only
41,14.286391960,-0.108196195,0.115213719,-0.414472817,0.939695075,0.0794286946,-0.31708191,-0.10061467,1,filtered_kalman,raw_camera_orientation,relative_only
42,14.437718593,-0.115696518,0.117640196,-0.424255775,0.938775434,0.0792671948,-0.321014771,-0.0967828155,1,filtered_kalman,raw_camera_orientation,relative_only
43,14.589045226,-0.123305431,0.120235744,-0.434169474,0.937291431,0.0786255116,-0.324747122,-0.0992073996,1,filtered_kalman,raw_camera_orientation,relative_only
44,14.740371859,-0.130288905,0.122529841,-0.442903495,0.935617182,0.082754225,-0.329943727,-0.0943894232,1,filtered_kalman,raw_camera_orientation,relative_only
45,14.891698492,-0.137072677,0.124582339,-0.450488152,0.936428813,0.0830032643,-0.329358366,-0.0879465908,1,filtered_kalman,raw_camera_orientation,relative_only
46,15.043025126,-0.144285092,0.127220241,-0.460363323,0.936494346,0.0795362279,-0.330861042,-0.0847543515,1,filtered_kalman,raw_camera_orientation,relative_only
47,15.194351759,-0.151648687,0.129589735,-0.469981387,0.9352894,0.0847834916,-0.333698851,-0.0817959375,1,filtered_kalman,raw_camera_orientation,relative_only
48,15.345678392,-0.159297822,0.132156621,-0.480376628,0.936009941,0.0852367993,-0.333037924,-0.0755368718,1,filtered_kalman,raw_camera_orientation,relative_only
49,15.497005025,-0.167369726,0.135021231,-0.491485353,0.93666329,0.0828059941,-0.335320407,-0.0580109689,1,filtered_kalman,raw_camera_orientation,relative_only
50,15.648331658,-0.175620997,0.13749471,-0.502634381,0.936437433,0.0825869555,-0.337884607,-0.0458074364,1,filtered_kalman,raw_camera_orientation,relative_only
51,15.799658291,-0.183301837,0.139558,-0.511849607,0.936904374,0.0819319859,-0.338432314,-0.030998597,1,filtered_kalman,raw_camera_orientation,relative_only
52,15.950984925,-0.191364908,0.142130863,-0.5234534,0.935250348,0.0920514542,-0.341557049,-0.0131186296,1,filtered_kalman,raw_camera_orientation,relative_only
53,16.102311558,-0.199979132,0.144649157,-0.535261612,0.93653067,0.0979261573,-0.336564479,-0.00671737118,1,filtered_kalman,raw_camera_orientation,relative_only
54,16.253638191,-0.207809081,0.146963166,-0.546084275,0.937203069,0.0960745491,-0.335233082,-0.00623447398,1,filtered_kalman,raw_camera_orientation,relative_only
55,16.404964824,-0.214974605,0.149359937,-0.556281767,0.944001944,0.0962819433,-0.315568581,-0.0025666479,1,filtered_kalman,raw_camera_orientation,relative_only
56,16.556291457,-0.221579211,0.15142834,-0.564971146,0.950942732,0.096722292,-0.293837175,0.00352615954,1,filtered_kalman,raw_camera_orientation,relative_only
57,16.707618090,-0.227814906,0.153392895,-0.57286689,0.956559947,0.0947400882,-0.275642117,0.00622945826,1,filtered_kalman,raw_camera_orientation,relative_only
58,16.858944724,-0.233344995,0.155310352,-0.580525742,0.958946205,0.0972242692,-0.266317088,0.0066952575,1,filtered_kalman,raw_camera_orientation,relative_only
59,17.010271357,-0.238701651,0.156513913,-0.58749768,0.963259725,0.105060037,-0.246835878,0.0128506755,1,filtered_kalman,raw_camera_orientation,relative_only
60,17.161597990,-0.244034773,0.15800393,-0.594886393,0.967682916,0.106158127,-0.228190743,0.0157864258,1,filtered_kalman,raw_camera_orientation,relative_only
61,17.312924623,-0.249627619,0.159555051,-0.601475081,0.969729905,0.104467086,-0.219601914,0.0220349272,1,filtered_kalman,raw_camera_orientation,relative_only
62,17.464251256,-0.254895526,0.160965957,-0.608257651,0.96736546,0.119177405,-0.222510301,0.0221354874,1,filtered_kalman,raw_camera_orientation,relative_only
63,17.615577889,-0.259948456,0.1619053,-0.614342961,0.970052735,0.12189379,-0.208796221,0.0233181069,1,filtered_kalman,raw_camera_orientation,relative_only
64,17.766904523,-0.265172093,0.163160104,-0.621299324,0.969686548,0.125697523,-0.207585214,0.0285746501,1,filtered_kalman,raw_camera_orientation,relative_only
65,17.918231156,-0.269997968,0.164435522,-0.627988058,0.9699155,0.127972692,-0.205052242,0.0289912284,1,filtered_kalman,raw_camera_orientation,relative_only
66,18.069557789,-0.274627639,0.165524696,-0.634034792,0.972510527,0.119424546,-0.197785029,0.0290195757,1,filtered_kalman,raw_camera_orientation,relative_only
67,18.220884422,-0.279044929,0.166636179,-0.64025097,0.976118295,0.114978967,-0.181244922,0.0335140229,1,filtered_kalman,raw_camera_orientation,relative_only
68,18.372211055,-0.283104771,0.167618638,-0.645882732,0.977189644,0.116907668,-0.173728268,0.0353763293,1,filtered_kalman,raw_camera_orientation,relative_only
69,18.523537688,-0.287055869,0.168770198,-0.651592208,0.977123786,0.114316457,-0.176090124,0.033957647,1,filtered_kalman,raw_camera_orientation,relative_only
70,18.674864322,-0.290896361,0.169729023,-0.656791913,0.977863018,0.10602077,-0.176904376,0.0353320724,1,filtered_kalman,raw_camera_orientation,relative_only
71,18.826190955,-0.294316869,0.171022397,-0.662361352,0.980309802,0.0766178926,-0.180463471,0.0235653764,1,filtered_kalman,raw_camera_orientation,relative_only
72,18.977517588,-0.298168078,0.172592379,-0.667922477,0.97992445,0.0688116265,-0.185595687,0.0238175,1,filtered_kalman,raw_camera_orientation,relative_only
73,19.128844221,-0.301029903,0.173587363,-0.672537145,0.979480308,0.0725765625,-0.186610203,0.0229695574,1,filtered_kalman,raw_camera_orientation,relative_only
74,19.280170854,-0.303798036,0.174832636,-0.677267768,0.980593511,0.0648065449,-0.18386834,0.0207101808,1,filtered_kalman,raw_camera_orientation,relative_only
75,19.431497487,-0.306461406,0.176144355,-0.682517512,0.981394098,0.0639727558,-0.179970631,0.0195878288,1,filtered_kalman,raw_camera_orientation,relative_only
76,19.582824121,-0.308806148,0.177312123,-0.687677723,0.981418595,0.0638922513,-0.179841211,0.0198106297,1,filtered_kalman,raw_camera_orientation,relative_only
77,19.734150754,-0.310933664,0.178299936,-0.69227439,0.982001972,0.0634278365,-0.17679512,0.0198121792,1,filtered_kalman,raw_camera_orientation,relative_only
78,19.885477387,-0.313213163,0.179150942,-0.696548431,0.982420417,0.0590601179,-0.176011674,0.0195427117,1,filtered_kalman,raw_camera_orientation,relative_only
79,20.036804020,-0.314949878,0.180006364,-0.700655766,0.98150175,0.0621222514,-0.180070453,0.0192294717,1,filtered_kalman,raw_camera_orientation,relative_only
80,20.188130653,-0.317154553,0.181279652,-0.706036001,0.980764156,0.0626456226,-0.183532867,0.0222009552,1,filtered_kalman,raw_camera_orientation,relative_only
81,20.339457286,-0.319369961,0.182393392,-0.711265832,0.981026365,0.0615315201,-0.182984393,0.0178284955,1,filtered_kalman,raw_camera_orientation,relative_only
82,20.490783920,-0.321499566,0.183502922,-0.716044683,0.981554426,0.0610339185,-0.180598188,0.0144936164,1,filtered_kalman,raw_camera_orientation,relative_only
83,20.642110553,-0.323614479,0.184691361,-0.721233721,0.98142947,0.0605088244,-0.181670897,0.0114264317,1,filtered_kalman,raw_camera_orientation,relative_only
84,20.793437186,-0.325832443,0.185995959,-0.72666029,0.981850783,0.059778744,-0.179899324,0.00563701144,1,filtered_kalman,raw_camera_orientation,relative_only
85,20.944763819,-0.327956295,0.187431522,-0.732295929,0.982576788,0.0540967327,-0.17757495,-0.00913984313,1,filtered_kalman,raw_camera_orientation,relative_only
86,21.096090452,-0.330058132,0.189041,-0.737741822,0.982749588,0.0428472459,-0.177830888,-0.027267842,1,filtered_kalman,raw_camera_orientation,relative_only
87,21.247417085,-0.332078225,0.190562285,-0.742710698,0.983113193,0.0348567449,-0.176562644,-0.0331525183,1,filtered_kalman,raw_camera_orientation,relative_only
88,21.398743719,-0.333789861,0.19219513,-0.748079011,0.982478389,0.0260554275,-0.179929112,-0.0410224753,1,filtered_kalman,raw_camera_orientation,relative_only
89,21.550070352,-0.335605732,0.193689488,-0.753526085,0.981958822,0.0319863989,-0.180667589,-0.0457489183,1,filtered_kalman,raw_camera_orientation,relative_only
90,21.701396985,-0.33712255,0.195209327,-0.758414193,0.983027241,0.0290756586,-0.175078168,-0.0464724002,1,filtered_kalman,raw_camera_orientation,relative_only
91,21.852723618,-0.338612795,0.196548295,-0.762823814,0.981912708,0.0318707045,-0.17994649,-0.0495071026,1,filtered_kalman,raw_camera_orientation,relative_only
92,22.004050251,-0.339731924,0.197729962,-0.767287679,0.982779395,0.0355204933,-0.175121485,-0.0470682574,1,filtered_kalman,raw_camera_orientation,relative_only
